comuna,municipio,edad,sexo,máximo_nivel_educativo_alcanzado,grupo_poblacional,tipo_de_contrato,profesión_u_ocupación,salario,cargo_solicitado,nivel_del_cargo,No_días_del_registro_hasta_contratación,No_días_de_la_postulación_hasta_contratación,No_días_del_empleador_en_cubrir_vacante
7,medellin,23,masculino,secundaria,ninguno,termino fijo,tecnico,689455,mesero,operativo,5,5,5.0
99,envigado,53,masculino,tecnológico,ninguno,termino fijo,tecnologo electrónico,750000,técnico electrónico,operativo,40,40,80.0
99,guarne,24,masculino,secundaria,ninguno,termino fijo,operario de producción,744977,operario de producción,operativo,112,3,13.0
16,medellin,23,femenino,técnico,ninguno,termino fijo,gestión ambiental territorial,1200000,promotores ambientales,operativo,16,9,18.0
4,medellin,22,femenino,profesional,ninguno,termino fijo,ingeniera biologa,1040000,agente call center bilingüe,operativo,4,4,20.0
5,medellin,26,masculino,profesional,ninguno,termino fijo,licenciatura en ingles,1040000,agente call center bilingüe,operativo,10,1,1.0
99,bello,38,femenino,tecnológico,ninguno,termino indefinido,tecnologo en salud ocupacional,1000000,salud y seguridad en el trabajo,operativo,251,4,4.0
13,medellin,21,masculino,técnico,ninguno,termino fijo,ambiental,1040001,agente call center bilingüe,operativo,100,5,40.0
16,medellin,21,masculino,profesional,ninguno,termino fijo,ingeniero,1040002,agente call center bilingüe,operativo,1088,5,40.0
4,medellin,19,masculino,secundaria,ninguno,termino fijo,asesor,689455,representante atención al cliente,operativo,404,10,25.0
5,medellin,37,femenino,técnico,ninguno,termino fijo,asesora,689455,representante atención al cliente,operativo,559,10,25.0
99,andes,23,masculino,secundaria,ninguno,obra o labor,operario de producción,689455,auxiliar  general productos fibra de vidrio,operativo,112,14,31.0
99,bello,20,femenino,secundaria,ninguno,termino indefinido,guarda de seguridad,689455,cajera-vendedora,operativo,112,11,18.0
7,medellin,18,femenino,secundaria,ninguno,termino fijo,bachiller,689455,representante atención al cliente,operativo,10,18,18.0
99,estrella,24,masculino,secundaria,ninguno,termino indefinido,vigilante,1100000,guarda de seguridad,operativo,8,1,13.0
1,medellin,19,femenino,técnico,ninguno,termino fijo,tecnica laboral,689455,representante atención al cliente,operativo,10,1,15.0
16,medellin,22,femenino,técnico,ninguno,termino fijo,tecnica en finanzas,689455,representante atención al cliente,operativo,112,12,12.0
70,medellin,19,masculino,secundaria,ninguno,termino fijo,bachiller,689455,representante atención al cliente,operativo,112,12,12.0
99,bello,19,masculino,secundaria,ninguno,termino fijo,bachiller,689455,representante atención al cliente,operativo,112,8,22.0
99,envigado,46,masculino,técnico,ninguno,termino fijo,tecnico en administración de empresas,689455,representante atención al cliente,operativo,112,8,22.0
99,la ceja,22,femenino,técnico,ninguno,termino indefinido,asistente administrativa,700000,auxiliar administrativo,administrativo,112,16,23.0
8,medellin,57,masculino,secundaria,ninguno,obra o labor,oficios varios,802500,auxiliar de servicios generales,operativo,193,8,14.0
13,medellin,20,femenino,secundaria,ninguno,termino fijo,bachiller,689455,auxiliar punto de venta,operativo,21,21,55.0
8,medellin,19,masculino,secundaria,ninguno,termino fijo,bachiller,689455,auxiliar punto de venta,operativo,21,21,55.0
4,medellin,36,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,112,7,13.0
4,medellin,27,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,112,7,13.0
4,medellin,26,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,112,7,13.0
4,medellin,56,masculino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,258,7,13.0
4,medellin,29,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,258,7,13.0
4,medellin,44,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,258,5,13.0
4,medellin,57,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,215,5,13.0
4,medellin,58,masculino,primaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,216,4,13.0
4,medellin,34,masculino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,258,5,13.0
4,medellin,58,masculino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,258,5,13.0
4,medellin,39,masculino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,258,7,13.0
4,medellin,37,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,258,4,13.0
4,medellin,35,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,112,7,13.0
4,medellin,21,masculino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,216,7,13.0
4,medellin,28,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,216,7,13.0
4,medellin,29,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,260,5,30.0
4,medellin,20,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,260,5,13.0
4,medellin,30,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,112,5,13.0
4,medellin,52,masculino,secundaria,ninguno,termino fijo,oficial de apoyo,1150000,oficial de apoyo,operativo,217,7,13.0
4,medellin,25,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,217,4,13.0
4,medellin,23,masculino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,239,7,13.0
4,medellin,24,femenino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,239,7,13.0
4,medellin,19,masculino,secundaria,ninguno,termino fijo,jardinero,870000,jardinero,operativo,239,7,13.0
5,medellin,23,masculino,tecnológico,ninguno,termino indefinido,negociador internacional,1150000,technical support and customer service advisor,operativo,26,13,34.0
11,medellin,42,femenino,secundaria,ninguno,termino indefinido,independiente,1150000,technical support and customer service advisor,operativo,35,13,34.0
99,bello,29,masculino,profesional,ninguno,termino indefinido,licenciado en idiomas,1150000,technical support and customer service advisor,operativo,31,17,38.0
10,medellin,20,femenino,secundaria,ninguno,termino indefinido,bachiller,1150000,technical support and customer service advisor,operativo,81,13,34.0
16,medellin,25,masculino,técnico,ninguno,termino indefinido,mecanico industrial,1150000,technical support and customer service advisor,operativo,893,13,34.0
4,medellin,25,masculino,técnico,ninguno,termino indefinido,reparador de computadores,1150000,technical support and customer service advisor,operativo,77,13,34.0
16,medellin,27,masculino,profesional,ninguno,termino indefinido,licenciado en idiomas,1150000,technical support and customer service advisor,operativo,776,13,34.0
99,bello,34,masculino,profesional,ninguno,termino indefinido,comunicador social,1150000,technical support and customer service advisor,operativo,14,13,34.0
99,itagui,20,femenino,secundaria,ninguno,termino indefinido,bachiller,1150000,technical support and customer service advisor,operativo,13,13,34.0
5,medellin,25,femenino,profesional,ninguno,termino indefinido,ingeniera industrial,1150000,technical support and customer service advisor,operativo,378,13,34.0
4,medellin,21,masculino,secundaria,ninguno,termino indefinido,estudiante,1150000,technical support and customer service advisor,operativo,13,13,34.0
1,medellin,23,masculino,tecnológico,ninguno,termino indefinido,programador de sistemas,1150000,technical support and customer service advisor,operativo,200,13,34.0
9,medellin,25,masculino,secundaria,ninguno,termino fijo,bachiller academico,689455,operario oficios varios,operativo,112,1,16.0
11,medellin,29,masculino,especialización,ninguno,termino indefinido,especialista en en gestión de la innovación,2500000,coordinador de compras,administrativo,46,9,18.0
3,medellin,20,femenino,tecnológico,ninguno,termino fijo,tecnologa en procesamiento de alimentos,750000,jefe de producción,operativo,17,17,40.0
15,medellin,45,masculino,profesional,ninguno,termino indefinido,contador pública,1960000,jefe de contabilidad,administrativo,1326,74,79.0
99,bello,33,femenino,profesional,ninguno,obra o labor,ingeniera industrial,2000000,director de calidad,administrativo,191,19,23.0
99,bello,24,femenino,técnico,ninguno,termino indefinido,tecnico en sistemas,700000,asesor call center,operativo,1101,7,9.0
3,medellin,20,femenino,tecnológico,ninguno,obra o labor,tecnóloga,689455,auxiliar de inventario,operativo,462,22,71.0
99,bello,20,masculino,secundaria,ninguno,obra o labor,bachiller,689455,auxiliar de inventario,operativo,460,22,71.0
12,medellin,23,femenino,técnico,ninguno,obra o labor,técnico,689455,auxiliar de inventario,operativo,48,22,71.0
99,caldas,19,masculino,técnico,ninguno,obra o labor,técnico,689455,auxiliar de inventario,operativo,224,22,71.0
6,medellin,31,masculino,técnico,ninguno,termino fijo,técnico en contabilidad,800000,guía educativo - metro de meedellín,operativo,498,30,38.0
99,sabaneta,54,masculino,técnico,ninguno,termino fijo,técnico en mercadeo,800000,guía educativo - metro de meedellín,operativo,112,6,14.0
9,medellin,39,femenino,técnico,ninguno,termino fijo,técnico en mercadeo y ventas,800000,guía educativo - metro de meedellín,operativo,112,9,17.0
1,medellin,39,masculino,secundaria,ninguno,termino fijo,bachiller academico,737717,mensajero con moto,operativo,112,6,11.0
1,medellin,48,masculino,primaria,ninguno,termino indefinido,piscinero,7371717,piscinero,operativo,647,70,30.0
99,estrella,27,masculino,tecnológico,ninguno,termino fijo,tecnologo contabilidad y finanzas,737717,asesor mostrador,comercial,65,6,68.0
11,medellin,32,masculino,profesional,ninguno,termino fijo,ingeniero forestal,2000000,docente catedra,administrativo,25,25,32.0
99,envigado,26,masculino,técnico,ninguno,termino fijo,técnico en procesos industriales,737717,operario de producción,operativo,263,66,80.0
99,sabaneta,28,femenino,técnico,ninguno,prestación de servicios,auxiliar en servicios aereos,2535605,técnico para apoyo administrativo,administrativo,141,12,15.0
99,sabaneta,28,masculino,profesional,ninguno,prestación de servicios,ingeniero informatico,4690870,profesional para apoyo en sistemas de información,administrativo,999,12,15.0
16,medellin,37,masculino,profesional,ninguno,prestación de servicios,economista industrial,4690870,profesional para apoyo al analisis de información,administrativo,140,12,15.0
16,medellin,39,masculino,especialización,ninguno,prestación de servicios,especialista en alta generencia,6085454,profesional especializado para apoyo a la coordinación de la oficina pública de empleo,administrativo,139,12,15.0
16,medellin,25,femenino,profesional,ninguno,prestación de servicios,psicologa,4690870,profesional para apoyo en desarrollo ocupacional,administrativo,139,12,15.0
14,medellin,31,masculino,profesional,ninguno,prestación de servicios,psicologo,4690870,profesional para apoyo en desarrollo ocupacional,administrativo,819,12,15.0
16,medellin,31,femenino,profesional,ninguno,prestación de servicios,psicologa,4690870,profesional para apoyo en desarrollo ocupacional,administrativo,1309,12,15.0
5,medellin,24,masculino,tecnológico,ninguno,prestación de servicios,tecnologo en gestión humana,3300188,tecnologo para apoyo en intermediación laboral,administrativo,814,12,15.0
13,medellin,28,masculino,tecnológico,ninguno,prestación de servicios,analista de costos y presupuestos,3300188,tecnologo para apoyo en intermediación laboral,administrativo,154,12,15.0
16,medellin,29,femenino,tecnológico,ninguno,prestación de servicios,comunicadora publicitaria,3300188,tecnologo para apoyo en intermediación laboral,administrativo,1298,12,15.0
16,medellin,32,masculino,técnico,ninguno,prestación de servicios,ingeniero pesquero,3300188,tecnologo para apoyo en intermediación laboral,administrativo,160,12,15.0
16,medellin,27,femenino,especialización,ninguno,prestación de servicios,relacionista publico,3300188,tecnologo para apoyo en intermediación laboral,administrativo,584,12,15.0
99,bello,35,femenino,profesional,ninguno,prestación de servicios,administradora de empresas,3300188,tecnologo para apoyo en intermediación laboral,administrativo,897,12,15.0
16,medellin,37,femenino,profesional,ninguno,prestación de servicios,administradora de empresas,3300188,tecnologo para apoyo en intermediación laboral,administrativo,1216,12,15.0
99,bello,36,femenino,profesional,ninguno,prestación de servicios,licenciada en educación preescolar,3300188,tecnologo para apoyo en intermediación laboral,administrativo,137,12,15.0
12,medellin,33,femenino,tecnológico,ninguno,prestación de servicios,tecnologa en electronica,3300188,tecnologo para apoyo en intermediación laboral,administrativo,159,12,15.0
8,medellin,53,masculino,tecnológico,ninguno,prestación de servicios,comercio internacional,2535605,técnico para apoyo  en asesorías en  empleo,comercial,141,4,7.0
9,medellin,32,masculino,especialización,ninguno,prestación de servicios,comunicador grafico,4690870,profesional para apoyo formación cedezo,administrativo,103,70,30.0
99,envigado,51,femenino,técnico,ninguno,prestación de servicios,turismo sistematizado,2535605,técnico para apoyo  en asesorías en  empleo,comercial,167,5,8.0
11,medellin,35,femenino,maestría,ninguno,prestación de servicios,derecho,4690870,profesional para apoyo formación cedezo,administrativo,103,34,6.0
99,bello,32,femenino,profesional,ninguno,prestación de servicios,derecho,2535605,técnico para apoyo  en asesorías en  empleo,comercial,596,7,10.0
16,medellin,54,masculino,técnico,ninguno,prestación de servicios,gestión empresarial,2535605,técnico para apoyo  en asesorías en  empleo,comercial,121,4,7.0
14,medellin,40,masculino,tecnológico,ninguno,prestación de servicios,gestión de talento humano,2535605,técnico para apoyo  en asesorías en  empleo,comercial,155,6,30.0
5,medellin,34,masculino,profesional,ninguno,prestación de servicios,mercadeo y ventas,2535605,técnico para apoyo  en asesorías en  empleo,comercial,126,7,10.0
11,medellin,31,femenino,tecnológico,ninguno,prestación de servicios,sistemas de información,2535605,técnico para apoyo  en asesorías en  empleo,comercial,156,5,8.0
99,el retiro,28,femenino,técnico,ninguno,prestación de servicios,educación prescolar,2535605,técnico para apoyo  en asesorías en  empleo,comercial,166,5,8.0
11,medellin,28,masculino,especialización,ninguno,prestación de servicios,gerencia de proyectos,4690870,profesional para apoyo formación cedezo,administrativo,104,3,6.0
13,medellin,26,masculino,técnico,ninguno,prestación de servicios,asistencia administrativa,2535605,técnico para apoyo  en asesorías en  empleo,comercial,151,4,7.0
5,medellin,23,femenino,tecnológico,ninguno,prestación de servicios,gestión del talento humano,2535605,técnico para apoyo  en asesorías en  empleo,comercial,165,4,7.0
4,medellin,23,masculino,técnico,ninguno,prestación de servicios,administración empresarial,1648142,bachiller para el apoyo administrativo trámites y servicios.,operativo,116,4,7.0
13,medellin,41,femenino,secundaria,ninguno,prestación de servicios,bachiller,1202689,auxiliares de campo,operativo,9,3,6.0
13,medellin,30,masculino,tecnológico,ninguno,prestación de servicios,salud ocupacional,1202689,auxiliares de campo,operativo,9,3,6.0
13,medellin,22,femenino,secundaria,ninguno,prestación de servicios,bachiller,1202689,auxiliares de campo,operativo,880,2,6.0
16,medellin,40,masculino,secundaria,ninguno,termino fijo,bachiller,1080000,vigia de apoyo- guarda de seguridad,operativo,520,10,11.0
16,medellin,21,masculino,secundaria,ninguno,termino fijo,bachiller,689455,auxiliar de campo,operativo,112,8,15.0
11,medellin,32,masculino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional para apoyo técnico,administrativo,81,12,15.0
99,itagui,34,femenino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional apoyo técnico apropiación- tic,administrativo,81,12,15.0
16,medellin,31,femenino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional para apoyo técnico- transversal,administrativo,81,12,15.0
15,medellin,32,masculino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional para apoyo a  servicios,administrativo,81,12,15.0
14,medellin,35,masculino,especialización,ninguno,prestación de servicios,especialización,6085454,profesional especializado- servicios,administrativo,81,12,15.0
99,bello,27,masculino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional apoyo técnico conectividad y monitoreo,administrativo,81,12,15.0
99,itagui,28,femenino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional para apoyo tecnico- apropiación,administrativo,81,12,15.0
99,envigado,30,masculino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional apoyo tecnico – transversal- comunicaciones,administrativo,81,12,15.0
15,medellin,29,masculino,profesional,ninguno,prestación de servicios,profesional,4690870,profesional para apoyo técnico conectividad,administrativo,81,12,15.0
7,medellin,29,masculino,especialización,ninguno,prestación de servicios,especialización,6085454,profesional especializado para apoyo a servicios -mantenimiento,administrativo,81,12,15.0
12,medellin,27,masculino,especialización,ninguno,prestación de servicios,especialización,6085454,profesional especializado para apoyo administrativo,administrativo,81,12,15.0
3,medellin,28,femenino,tecnológico,ninguno,prestación de servicios,tecnológico,3300188,tecnologo para apoyo administrativo,administrativo,81,12,15.0
16,medellin,24,masculino,tecnológico,ninguno,prestación de servicios,tecnológico,3300188,tecnólogo para apoyo comercial,administrativo,81,12,15.0
4,medellin,42,masculino,secundaria,ninguno,termino indefinido,soldador,1300000,soldador argonero,operativo,12,5,5.0
7,medellin,59,masculino,secundaria,ninguno,termino indefinido,soldador,1300000,soldador argonero,operativo,108,5,5.0
7,medellin,38,masculino,secundaria,ninguno,termino indefinido,mensajero,737717,mensajero,operativo,293,10,13.0
99,bello,30,femenino,técnico,ninguno,termino indefinido,auxiliar administrativa,737717,auxiliar administrativa,administrativo,520,10,13.0
99,bello,52,femenino,secundaria,ninguno,termino fijo,servicios generales,737717,servicios generales,operativo,117,8,9.0
8,medellin,20,masculino,primaria,ninguno,termino fijo,auxiliar de limpieza en aseo hospitalario,737717,auxiliar de limpieza en aseo hospitalario,operativo,66,9,16.0
13,medellin,57,femenino,secundaria,ninguno,termino fijo,auxiliar de limpieza en aseo hospitalario,737717,auxiliar de limpieza en aseo hospitalario,operativo,14,13,20.0
13,medellin,43,masculino,secundaria,ninguno,termino fijo,bachiller,750000,conductor- mensajero,operativo,111,14,18.0
3,medellin,22,masculino,técnico,ninguno,obra o labor,tecnico en sistemas,689459,ayudante,operativo,240,3,14.0
15,medellin,33,masculino,tecnológico,ninguno,termino fijo,tecnólogo en logistica integral,800000,guía educativo metro,operativo,315,70,30.0
99,bello,52,femenino,secundaria,ninguno,termino fijo,bachiller,800000,guía educativo metro,operativo,315,70,30.0
99,bello,46,femenino,profesional,ninguno,termino fijo,profesional en desarrollo familiar,800000,guía educativo metro,operativo,315,70,30.0
3,medellin,34,femenino,técnico,ninguno,termino fijo,auxiliar contable,800000,guía educativo metro,operativo,315,70,30.0
3,medellin,37,femenino,técnico,ninguno,termino fijo,ventas y servicios,800000,guía educativo metro,operativo,315,70,30.0
9,medellin,49,femenino,profesional,ninguno,termino fijo,enfermera,800000,guía educativo metro,operativo,315,70,30.0
99,barbosa,34,femenino,técnico,ninguno,termino fijo,gestión ambiental,800000,guía educativo metro,operativo,315,70,30.0
13,medellin,34,femenino,técnico,ninguno,termino fijo,secretariado sitematizado,800000,guía educativo metro,operativo,315,70,30.0
16,medellin,46,masculino,técnico,ninguno,termino fijo,administración,800000,guía educativo metro,operativo,315,70,30.0
99,bello,43,masculino,secundaria,ninguno,termino fijo,bachiller,800000,guía educativo metro,operativo,315,70,30.0
7,medellin,18,femenino,secundaria,ninguno,termino fijo,bachiller,800000,guía educativo metro,operativo,315,70,30.0
99,copacabana,29,femenino,técnico,ninguno,termino fijo,técnica en primera infancia,800000,guía educativo metro,operativo,315,70,30.0
9,medellin,30,masculino,técnico,ninguno,termino fijo,venta de productos y servicios financieros,800000,guía educativo metro,operativo,315,70,30.0
4,medellin,23,femenino,profesional,ninguno,termino fijo,comunicadora social y periodista,800000,guía educativo metro,operativo,315,70,30.0
11,medellin,30,femenino,profesional,ninguno,termino fijo,comunicadora social y periodista,800000,guía educativo metro,operativo,315,70,30.0
9,medellin,27,femenino,técnico,ninguno,termino fijo,auxiliar de archivo,800000,guía educativo metro,operativo,315,70,30.0
80,medellin,23,femenino,secundaria,ninguno,termino fijo,bachiller,800000,guía educativo metro,operativo,315,70,30.0
7,medellin,23,femenino,secundaria,ninguno,termino fijo,bachiller,800000,guía educativo metro,operativo,315,70,30.0
1,medellin,58,masculino,técnico,ninguno,termino indefinido,tornero,1400000,tornero,operativo,719,18,19.0
11,medellin,28,masculino,secundaria,ninguno,termino indefinido,vendedor de mostrador,737717,vendedor de mostrador,comercial,14,9,22.0
6,medellin,43,masculino,especialización,ninguno,prestación de servicios,profesional empresarial,4690870,profesional para apoyo a centros comerciales informales,administrativo,81,12,15.0
2,medellin,44,femenino,profesional,ninguno,prestación de servicios,asesora comercial,2535605,tecnico para apoyo en asesoría comercial,comercial,1305,12,15.0
99,itagui,36,masculino,técnico,ninguno,prestación de servicios,tecnico para apoyo administrativo,2535605,tecnico para apoyo administrativo,administrativo,81,12,15.0
16,medellin,36,masculino,profesional,ninguno,prestación de servicios,diseñador industrial,4690870,profesional para apoyo logístico,administrativo,81,12,15.0
50,medellin,19,masculino,técnico,ninguno,prestación de servicios,tecnica profesional,2535605,tecnico para apoyo en asesoría comercial,comercial,81,12,15.0
6,medellin,27,femenino,técnico,ninguno,prestación de servicios,auxiliar administrativa,2535605,tecnico para apoyo en asesoría comercial,comercial,86,12,15.0
16,medellin,30,femenino,profesional,ninguno,prestación de servicios,profesional en publicidad,4690870,profesional para apoyo a estrategia de comunicación,administrativo,1309,12,15.0
99,bello,28,femenino,técnico,ninguno,prestación de servicios,tecnica en contabilidad,2535605,tecnico para apoyo en asesoría comercial,comercial,433,12,15.0
16,medellin,30,femenino,secundaria,ninguno,prestación de servicios,estudiante de comunicación social,3300188,tecnologo para apoyo estrategia de comunicaciones,creativo,81,12,15.0
13,medellin,30,masculino,secundaria,ninguno,prestación de servicios,estudiante de comunicación social,2535605,tecnico para apoyo en asesoría comercial,comercial,874,12,15.0
2,medellin,30,femenino,profesional,ninguno,prestación de servicios,profesional en administracion de empresas,4690870,profesional para apoyo administrativo en el modelo de desarrollo empresarial,administrativo,1307,12,15.0
16,medellin,26,femenino,profesional,ninguno,prestación de servicios,profesional en administracion comercial y de mercadeo,4690870,profesional para apoyo para comercialización,administrativo,81,12,15.0
7,medellin,24,femenino,técnico,ninguno,prestación de servicios,tecnico en análisis de costos y presupuestos,2535605,tecnico para apoyo en asesoría comercial,comercial,81,12,15.0
99,sabaneta,44,femenino,maestría,ninguno,termino fijo,magister en educacion y desarrollo humano,800000,guia educativo metro,operativo,81,4,8.0
6,medellin,50,femenino,profesional,ninguno,termino fijo,licenciatura en educación preescolar,800000,guia educativo metro,operativo,81,4,8.0
5,medellin,45,femenino,profesional,ninguno,termino fijo,comunicadora social,800000,guia educativo metro,operativo,81,4,8.0
99,itagui,39,femenino,técnico,ninguno,termino fijo,tecnica profesional en enfermeria,800000,guia educativo metro,operativo,81,4,8.0
5,medellin,32,femenino,profesional,ninguno,termino fijo,comunicadora social,800000,guia educativo metro,operativo,81,4,8.0
16,medellin,40,masculino,técnico,ninguno,termino fijo,tecnico en operación de equipos de transporte,800000,guia educativo metro,operativo,81,4,8.0
11,medellin,30,masculino,tecnológico,ninguno,termino fijo,diseño mecatronico,800000,guia educativo metro,operativo,81,4,8.0
13,medellin,30,femenino,secundaria,ninguno,termino fijo,facilitadora de lengua de señas colombiana,800000,guia educativo metro,operativo,81,4,8.0
2,medellin,27,femenino,técnico,ninguno,termino fijo,tecnica en ventas y servicios,800000,guia educativo metro,operativo,81,4,8.0
99,itagui,20,femenino,técnico,ninguno,termino fijo,"tecnica en ciencias sociales, educación, servicios gubernamentales y religión",800000,guia educativo metro,operativo,81,4,8.0
8,medellin,30,femenino,técnico,ninguno,termino fijo,tecnica en salud,800000,guia educativo metro,operativo,81,4,8.0
7,medellin,29,femenino,tecnológico,ninguno,termino fijo,normalista superior con enfasis en ciencias naturales,800000,guia educativo metro,operativo,81,4,8.0
2,medellin,27,masculino,técnico,ninguno,termino fijo,tecnico en sistemas,800000,guia educativo metro,operativo,81,4,8.0
9,medellin,26,femenino,técnico,ninguno,termino fijo,tecnica en recursos humanos,800000,guia educativo metro,operativo,1286,4,8.0
3,medellin,24,masculino,técnico,ninguno,termino fijo,guia educativo,800000,guia educativo metro,operativo,81,4,8.0
7,medellin,27,masculino,secundaria,ninguno,termino fijo,guia educativo,800000,guia educativo metro,operativo,81,4,8.0
5,medellin,25,femenino,técnico,ninguno,termino fijo,tecnico agente de ventas y servicios para aerolineas,800000,guia educativo metro,operativo,81,4,8.0
99,envigado,55,femenino,profesional,ninguno,prestación de servicios,2 profesional para apoyo contable en procesos de contratación,4690870,2 profesional para apoyo contable en procesos de contratación,administrativo,109,12,15.0
99,envigado,33,femenino,tecnología,ninguno,prestación de servicios,profesional para apoyo administrativo y financiero,4690870,profesional para apoyo administrativo y financiero,administrativo,1309,12,15.0
99,envigado,54,femenino,especialización,ninguno,prestación de servicios,profesional psicosocial.,4690870,profesional psicosocial.,administrativo,1307,12,15.0
99,envigado,57,femenino,especialización,ninguno,prestación de servicios,4 profesional para apoyo técnico-administrativo en procesos de contratación,4690870,4 profesional para apoyo técnico-administrativo en procesos de contratación,administrativo,1307,12,15.0
99,itagui,50,femenino,tecnología,ninguno,prestación de servicios,tecnólogo para apoyo en sistemas,3300188,tecnólogo para apoyo en sistemas,administrativo,106,12,15.0
99,itagui,40,femenino,profesional,ninguno,prestación de servicios,4 profesional para apoyo técnico-administrativo en procesos de contratación,4690870,4 profesional para apoyo técnico-administrativo en procesos de contratación,administrativo,105,12,15.0
99,itagui,46,femenino,profesional,ninguno,prestación de servicios,profesional apoyo jurídico procesos de contratación,4690870,profesional apoyo jurídico procesos de contratación,administrativo,105,12,15.0
99,itagui,34,femenino,profesional,ninguno,prestación de servicios,2 profesional para apoyo contable en procesos de contratación,4690870,2 profesional para apoyo contable en procesos de contratación,administrativo,619,12,15.0
99,itagui,32,femenino,técnica,ninguno,prestación de servicios,bachiller  para apoyo operativo a los procesos de comodato.,1648142,bachiller  para apoyo operativo a los procesos de comodato.,administrativo,628,12,15.0
99,itagui,40,masculino,profesional,ninguno,prestación de servicios,profesional apoyo técnico- administrativo en procesos de contratación,4690870,profesional apoyo técnico- administrativo en procesos de contratación,administrativo,106,12,15.0
99,itagui,38,masculino,especialización,ninguno,prestación de servicios,4 profesional para apoyo técnico-administrativo en procesos de contratación,4690870,4 profesional para apoyo técnico-administrativo en procesos de contratación,administrativo,120,12,15.0
99,itagui,50,masculino,profesional,ninguno,prestación de servicios,profesional para apoyo contable en procesos de contratación,4690870,profesional para apoyo contable en procesos de contratación,administrativo,120,12,15.0
99,itagui,25,femenino,especialización,ninguno,prestación de servicios,4 profesional para apoyo técnico-administrativo en procesos de contratación,4690870,4 profesional para apoyo técnico-administrativo en procesos de contratación,administrativo,125,12,15.0
99,itagui,27,femenino,técnica,ninguno,prestación de servicios,técnico para  apoyo administrativo,2535605,técnico para  apoyo administrativo,administrativo,116,12,15.0
99,itagui,28,femenino,profesional,ninguno,prestación de servicios,profesional apoyo administrativo y financiero- cluster,4690870,profesional apoyo administrativo y financiero- cluster,administrativo,116,12,15.0
7,medellin,26,masculino,tecnológico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
11,medellin,28,femenino,técnico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
9,medellin,29,femenino,tecnológico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
99,estrella,26,femenino,técnico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
99,envigado,24,femenino,secundaria,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
99,estrella,27,masculino,secundaria,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
99,girardota,25,femenino,tecnológico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
4,medellin,20,femenino,profesional,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
99,bello,22,femenino,tecnológico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
3,medellin,25,femenino,técnico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
5,medellin,22,femenino,técnico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
16,medellin,29,masculino,profesional,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
4,medellin,35,masculino,técnico,ninguno,termino fijo,guía educativo,800000,guia educativo metro de medellin,operativo,112,70,15.0
