comuna,municipio,edad,sexo,máximo_nivel_educativo_alcanzado,grupo_poblacional,tipo_de_contrato,profesión_u_ocupación,salario,cargo_solicitado,nivel_del_cargo,No_días_del_registro_hasta_contratación,No_días_de_la_postulación_hasta_contratación,No_días_del_empleador_en_cubrir_vacante
4,medellin,25,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,21,14,21.0
4,medellin,36,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,29,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,64,14,21.0
4,medellin,30,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,64,14,21.0
4,medellin,44,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,58,masculino,técnico,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,23,masculino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,43,14,21.0
4,medellin,35,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,43,14,21.0
4,medellin,26,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,64,14,21.0
4,medellin,21,masculino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,20,14,21.0
4,medellin,58,masculino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,20,14,21.0
4,medellin,29,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,20,14,21.0
4,medellin,39,masculino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,28,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,64,14,21.0
4,medellin,57,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,19,14,21.0
4,medellin,20,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,52,masculino,secundaria,ninguno,termino fijo,jardinero,1200000,oficial de apoyo,operativo,21,14,21.0
4,medellin,34,masculino,secundaria,ninguno,termino fijo,jardinero,1200000,oficial de apoyo,operativo,62,14,21.0
4,medellin,34,masculino,secundaria,ninguno,termino fijo,oficios varios,689454,aseo oficios varios,operativo,995,19,22.0
8,medellin,21,femenino,secundaria,ninguno,termino fijo,bachiller,689455,operaria maquina de confección,operativo,571,14,21.0
80,medellin,27,masculino,tecnológico,ninguno,obra o labor,tecnologo en recursos naturales,689455,domiciliario,operativo,22,3,17.0
9,medellin,32,masculino,tecnológico,ninguno,obra o labor,tecnologia en laboratorio de rehabilitacion dental,689455,domiciliario,operativo,191,5,19.0
16,medellin,26,femenino,tecnológico,ninguno,obra o labor,tecnica en contabilidad,689455,promotores,operativo,163,11,16.0
10,medellin,20,femenino,secundaria,ninguno,obra o labor,promotor,689454,promotores,operativo,112,10,15.0
16,medellin,34,masculino,primaria,ninguno,termino indefinido,conductor,689455,conductor entregador,operativo,13,11,12.0
13,medellin,18,femenino,primaria,ninguno,termino fijo,operaria,689455,operario de confección,operativo,4,1,67.0
16,medellin,21,femenino,secundaria,ninguno,termino fijo,operaria,689455,operario de confección,operativo,4,1,67.0
3,medellin,20,masculino,secundaria,ninguno,termino fijo,operario,689455,operario de confección,operativo,4,1,67.0
99,envigado,25,femenino,secundaria,ninguno,termino fijo,operaria,689455,operario de confección,operativo,4,1,67.0
99,bello,45,femenino,primaria,ninguno,termino fijo,operaria,689455,operario de confección,operativo,4,1,67.0
7,medellin,32,femenino,primaria,ninguno,termino fijo,operaria,689455,operario de confección,operativo,4,1,67.0
8,medellin,38,femenino,secundaria,ninguno,termino fijo,operaria,689455,operario de confección,operativo,4,1,67.0
8,medellin,38,femenino,primaria,ninguno,termino fijo,operaria,689455,operario de confección,operativo,4,1,67.0
1,medellin,27,masculino,técnico,ninguno,termino indefinido,técnico,689454,vigilante de seguridad,operativo,80,12,45.0
10,medellin,24,masculino,técnico,ninguno,termino indefinido,técnico,709000,conductor urbano,operativo,18,13,27.0
